Exports_Total,Exports_USA,Rate
196.81,21.7,21.7
176.73,20.5,20.5
217.99,22.6,22.6
244.63,23.8,23.8
236.48,24.9,24.9
242.14,23.2,23.2
234.45,23.3,23.3
269.51,22.9,22.9
269.93,24.2,24.2
247.22,23.6,23.6
229.13,22.1,22.1
231.84,22.6,22.6
174.65,23.5,23.5
203.33,21.8,21.8
212.72,23,23
238.49,23.8,23.8
236.59,23.8,23.8
246.87,24.8,24.8
256.75,23.8,23.8
274.47,26,26
285.97,28.4,28.4
316,27.1,27.1
297.89,25,25
249.41,21.5,21.5
193.53,23.6,23.6
260.93,24.4,24.4
232.07,23.4,23.4
249.29,23.7,23.7
282.66,23.7,23.7
272.21,24.7,24.7
303.22,26.9,26.9
289.21,24.8,24.8
260.65,23.4,23.4
278.75,24.1,24.1
285.19,23.8,23.8
262.29,23.4,23.4
216.92,22.2,22.2
228.71,22.8,22.8
228.42,22.2,22.2
252.68,23.6,23.6
259.89,22.3,22.3
255.01,22.4,22.4
290.08,24.5,24.5
280.89,22.4,22.4
285.61,23.1,23.1
308.74,23.4,23.4
271.01,23,23
243.58,21.5,21.5
173.23,20,20
211.69,18.6,18.6
186.25,20.5,20.5
216.11,19.5,19.5
266.53,22.4,22.4
236.71,20,20
242.4,21.1,21.1
